"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Stolt Momiji";107008;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-03-15";"2013-04-09";"United Arab Emirates";"Pakistan"
"New Wisdom";339033;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-05-12";"2020-06-04";"Saudi Arabia";"Malaysia"
"Berica";257787;"crude";"crude/co";"Dirty";"2018-02-22";"2018-04-05";"Russian Federation";"Morocco"
"Success Dalia Xlviii";515374;"crude";"crude/co";"Dirty";"2017-10-14";"2017-10-20";"Curacao";"China"
"Raina";140872;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-03-28";"2020-03-30";"Saudi Arabia";"China"
"Crane Uranus";1029686;"RFO";"Fuel Oils";"DPP";"2015-01-09";"2015-01-10";"Nigeria";"Nigeria"
"Gladiolus";810454;"crude";"crude/co";"Dirty";"2019-01-01";"2019-01-03";"Lithuania";"Taiwan"
"Sti Fulham";5025;"FO";"Fuel Oils";"DPP";"2019-05-09";"2019-05-16";"United States";"United States"
"Europrogress";59199;"crude";"crude/co";"Dirty";"2019-09-04";"2019-09-12";"Singapore Republic";"Sri Lanka"
"Ce Niriis";269870;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-08-21";NA;"Saudi Arabia";NA
"Tai Hung San";797038;"FO";"Fuel Oils";"DPP";"2017-09-29";"2017-10-11";"United States";"Colombia"
"Bright Sonia";1022855;"FO";"Fuel Oils";"DPP";"2019-09-16";"2019-09-18";"United States";"United Kingdom"
"Sauger";1016508;"crude";"crude/co";"Dirty";"2015-06-09";"2015-07-13";"Indonesia";"Singapore Republic"
"Petrolimex 16";805881;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-11-26";"2018-12-09";"United States";"Mexico"
"Setagawa";748657;"crude";"crude/co";"Dirty";"2017-04-24";"2017-06-13";"Brazil";"Brazil"
"Dan Cisne";75333;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2013-11-03";"2013-11-06";"United Kingdom";"Netherlands"
"Eagle Sapporo";86918;"crude";"crude/co";"Dirty";"2018-05-20";"2018-05-27";"Japan";"South Korea"
"Anavatos Ii";345354;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-05-24";"2018-06-06";"United States";"Malta"
"Sallie Knutsen";37993;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-07-24";"2018-07-26";"Netherlands";"United States"
"Valsesia";939119;"crude";"crude/co";"Dirty";"2018-07-13";"2018-07-17";"Angola";"India"
"Olympic Liberty";1017049;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-10-05";"2017-10-12";"Saudi Arabia";"South Korea"
"Angelica Schulte";1067431;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-10-25";"2016-10-29";"Russian Federation";"Netherlands"
"New Giant";776508;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2014-12-04";"2015-01-11";"Netherlands";"United Kingdom"
"Britannia";84478;NA;"Gasoil/Diesel";"Middle Distillates";"2018-06-04";"2018-06-11";"India";"India"
"Grace Star";275160;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-09-30";"2013-11-13";"Brazil";"Brazil"
"Fenicusa M";77182;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-06-21";"2019-06-24";"Saudi Arabia";"Singapore Republic"
"Velos Sapphire";101712;"FO";"Fuel Oils";"DPP";"2019-09-16";"2019-11-02";"Latvia";"Netherlands"
"Nariva";2082254;"Jet";"Kero/Jet";"Middle Distillates";"2014-11-28";"2015-01-01";"Saudi Arabia";"United Arab Emirates"
"Basat";300420;"crude";"crude/co";"Dirty";"2020-05-11";"2020-05-28";"China";"China"
"Glenda Melanie";447966;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-06-19";"2020-06-27";"United Kingdom";"Germany"
"Sao Luiz";90485;NA;"Gasoline/Naphtha";"Light Ends";"2018-06-27";"2018-07-15";"Brazil";"Brazil"
"Whitney";179655;"crude";"crude/co";"Dirty";"2019-11-12";NA;"United Arab Emirates";NA
"Mtm Hudson";178586;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-03-03";NA;"Saudi Arabia";NA
"Seatrout";349713;"crude";"crude/co";"Dirty";"2019-01-17";"2019-02-17";"Russian Federation";"Spain"
"Antonis I Angelicoussis";125280;"crude";"crude/co";"Dirty";"2017-05-22";"2017-05-28";"Italy";"Albania"
"Spruce Express";1048888;NA;"crude/co";"Dirty";"2016-07-15";"2016-08-02";"United States";"Chile"
"Madre De Deus";13372;NA;"Gasoline/Naphtha";"Light Ends";"2018-09-08";"2018-10-09";"Russian Federation";"Greece"
"Seatrust";60382;"crude";"crude/co";"Dirty";"2018-03-27";"2018-03-30";"Russian Federation";"Denmark"
"Yuan Qiu Hu";84723;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-10-08";"2019-10-08";"United States";"South Korea"
"Kalamas";303646;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-08-25";"2019-09-02";"Angola";"Spain"
"Fpmc C Jade";90887;"crude";"crude/co";"Dirty";"2020-06-12";"2020-06-23";"Netherlands";"Nigeria"
"Eco Beverly Hills";74169;"Jet";"Kero/Jet";"Middle Distillates";"2018-10-01";"2018-10-04";"Russian Federation";"Turkey"
"Torm Alexandra";599997;"crude";"crude/co";"Dirty";"2020-01-20";"2020-01-20";"Venezuela";"Panama"
"S Tinos";71295;"crude";"crude/co";"Dirty";"2016-08-25";"2016-09-15";"United States";"United States"
"Frankopan";199877;"crude";"crude/co";"Dirty";"2020-07-26";"2020-08-05";"Latvia";"Morocco"
"Blue Sky";6226;"crude";"crude/co";"Dirty";"2020-05-06";"2020-05-09";"Saudi Arabia";"United States"
"Scf Pearl";319371;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2016-08-05";"2016-09-01";"Turkey";"Italy"
"Haima";1598630;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-03-27";"2018-04-08";"South Korea";"United States"
"Ance";84226;"Jet";"Kero/Jet";"Middle Distillates";"2018-09-13";"2018-09-14";"Nigeria";"South Africa"
"Yuri Senkevich";519038;"crude";"crude/co";"Dirty";"2019-07-15";"2019-07-20";"Iraq";"United States"
"Mass 1";160314;"Jet";"Kero/Jet";"Middle Distillates";"2018-06-17";"2018-07-13";"Saudi Arabia";"Singapore Republic"
"Team Corrido";14447;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-04-30";"2016-05-12";"United States";"El Salvador"
"Elisalex Schulte";765784;"crude";"crude/co";"Dirty";"2019-09-17";"2019-09-22";"Netherlands";"Mexico"
"Eli Knutsen";349336;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-07-16";"2017-08-16";"Saudi Arabia";"France"
"Ridgebury Colette B";485019;"Jet";"Kero/Jet";"Middle Distillates";"2018-02-09";"2018-02-15";"Thailand";"Singapore Republic"
"New Talisman";1040410;"FO";"Fuel Oils";"DPP";"2017-02-19";"2017-03-25";"Norway";"United Kingdom"
"Timofey Guzhenko";986588;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-06-04";"2019-06-30";"Qatar";"South Korea"
"Front Ull";275003;"crude";"crude/co";"Dirty";"2017-03-14";"2017-05-23";"United Arab Emirates";"Saudi Arabia"
"Zefirea";25863;"FO";"Fuel Oils";"DPP";"2016-07-24";"2016-07-29";"Turkey";"Taiwan"
"Chembulk Columbus";280066;"crude";"crude/co";"Dirty";"2017-09-26";"2017-09-29";"Republic of the Congo";"Portugal"
"Electa";758746;"Jet";"Kero/Jet";"Middle Distillates";"2016-08-24";"2016-09-05";"Italy";"Italy"
"Cabo San Antonio";167667;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-01-25";"2020-02-04";"Russian Federation";"Romania"
"Agathonissos";186153;"crude";"crude/co";"Dirty";"2020-06-01";"2020-06-03";"Kuwait";"South Korea"
"Antigua I";279877;NA;"Gasoil/Diesel";"Middle Distillates";"2020-02-08";"2020-02-14";"Kuwait";"China"
"Histria Azure";904556;"crude";"crude/co";"Dirty";"2019-01-30";"2019-02-09";"Malaysia";"Thailand"
"Tuchkov Bridge";2000002;"crude";"crude/co";"Dirty";"2017-06-16";"2017-06-29";"Saudi Arabia";"United States"
"Hafnia Bering";332095;NA;"Gasoline/Naphtha";"Light Ends";"2017-06-17";"2017-06-23";"Philippines";"Thailand"
"Seascout";379835;NA;"Gasoil/Diesel";"Middle Distillates";"2019-03-02";"2019-04-10";"Singapore Republic";"Hong Kong"
"Quetta";251762;"crude";"crude/co";"Dirty";"2016-12-27";"2017-01-02";"United States";"China"
"Dee4 Birch";1035063;"FO";"Fuel Oils";"DPP";"2017-08-22";"2017-09-24";"Saudi Arabia";"Japan"
"Jemma";1868;"crude";"crude/co";"Dirty";"2019-07-18";"2019-08-18";"United Arab Emirates";"Thailand"
"Dionne";201462;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-09-19";"2019-09-20";"Russian Federation";"Bulgaria"
"Maroon";1013860;"RFO";"Fuel Oils";"DPP";"2016-07-03";"2016-07-05";"Japan";"Japan"
"Minerva Libra";80213;NA;"crude/co";"Dirty";"2016-10-22";"2016-11-07";"Brazil";"United States"
"Pink Coral";497756;"RFO";"Fuel Oils";"DPP";"2019-06-10";"2019-06-13";"Spain";"Mauritania"
"Ise Princess";280575;"FO";"Fuel Oils";"DPP";"2018-09-13";"2018-09-27";"France";"Togo"
"Karavas";112927;"Blending Comps";"Blendings";"Light Ends";"2017-09-18";"2017-10-02";"Kuwait";"South Africa"
"Thames";123909;"crude";"crude/co";"Dirty";"2019-01-22";NA;"Brazil";NA
"Unique Guardian";148137;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-03-26";"2017-04-05";"United States";"Canada"
"Karachi";1009533;NA;"crude/co";"Dirty";"2020-02-08";"2020-02-15";"Malaysia";"Hong Kong"
"Sea Coral";290010;NA;"Gasoil/Diesel";"Middle Distillates";"2017-10-01";"2017-10-07";"Oman";"China"
"Angi";499977;"crude";"crude/co";"Dirty";"2018-10-26";"2018-12-27";"United States";"Germany"
"Da Chi";667499;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-11-27";"2016-11-30";"Malaysia";"Australia"
"Lr2 Pioneer";260681;"FO";"Fuel Oils";"DPP";"2019-10-16";NA;"Brazil";NA
"Sc Qingdao";210796;"crude";"crude/co";"Dirty";"2019-12-14";"2019-12-21";"Saudi Arabia";"United States"
"Anneleen Knutsen";676921;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-04-29";"2016-04-29";"Italy";"Egypt"
"Avon";679997;NA;"crude/co";"Dirty";"2017-01-12";"2017-01-17";"Italy";"United Kingdom"
"Poseidon I";183769;"VGO";"Fuel Oils";"DPP";"2018-11-26";"2018-11-26";"Malaysia";"Thailand"
"Explorer";167812;"crude";"crude/co";"Dirty";"2015-12-16";"2016-01-01";"Indonesia";"Indonesia"
"Sahba";323969;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-12-06";"2019-12-19";"Taiwan";"South Korea"
"Maharaja";502260;"FO";"Fuel Oils";"DPP";"2019-10-19";"2019-11-11";"Japan";"Indonesia"
"Aegean Horizon";701854;"crude";"crude/co";"Dirty";"2018-01-21";"2018-01-24";"Russian Federation";"France"
"Uacc Yanbu";129997;"FO";"Fuel Oils";"DPP";"2019-04-11";"2019-04-22";"Angola";"China"
"Rio 2016";149999;NA;"crude/co";"Dirty";"2019-09-27";"2019-11-09";"United States";"United States"
"Nord Minute";245969;"crude";"crude/co";"Dirty";"2017-11-08";"2017-12-01";"United States";"United Arab Emirates"
"Marvin Star";23045;"crude";"crude/co";"Dirty";"2018-12-09";"2019-01-03";"Saudi Arabia";"Pakistan"
"Eikeviken";725001;"Jet";"Kero/Jet";"Middle Distillates";"2019-01-09";"2019-01-13";"Mexico";"Spain"
"Aragona";457552;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-04-06";"2019-04-21";"Turkey";"Italy"
"Eagle Turin";369627;NA;"Gasoline/Naphtha";"Light Ends";"2020-07-29";"2020-08-24";"China";"China"
"Jag Prerana";414114;"Blending Comps";"Blendings";"Light Ends";"2016-03-23";"2016-03-24";"Spain";"Spain"
"Fpmc C Noble";42192;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-10-07";"2017-10-20";"Saudi Arabia";"Japan"
"Torm Supreme";3006;"crude";"crude/co";"Dirty";"2018-01-11";"2018-01-26";"Saudi Arabia";"Japan"
"Tonos";349159;"crude";"crude/co";"Dirty";"2019-02-14";"2019-02-16";"South Korea";"South Korea"
"Evridiki";60784;"crude";"crude/co";"Dirty";"2020-02-24";"2020-03-14";"Togo";"Togo"
"Maersk Kiera";88636;"crude";"crude/co";"Dirty";"2020-02-28";"2020-03-18";"Canada";"Canada"
"Australian Spirit";272896;"FO";"Fuel Oils";"DPP";"2018-01-26";"2018-02-11";"Vietnam";"Thailand"
"Adara";178498;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-10-04";"2017-10-26";"Brazil";"China"
"Windsor Knutsen";25058;"FO";"Fuel Oils";"DPP";"2020-04-08";"2020-04-13";"Indonesia";"Indonesia"
"Sks Darent";149999;"Jet";"Kero/Jet";"Middle Distillates";"2020-07-23";"2020-08-13";"Saudi Arabia";"Saudi Arabia"
"Sti Spiga";249082;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2014-06-07";"2014-07-26";"Qatar";"Indonesia"
"Zefirea";517840;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-07-03";"2016-07-14";"Saudi Arabia";"India"
"Kashimasan";500002;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-08-17";"2020-08-24";"United Arab Emirates";"Japan"
"Southern Narwhal";1040403;NA;"Gasoil/Diesel";"Middle Distillates";"2019-07-18";"2019-09-10";"Nigeria";"India"
"Hafnia Lotte";166145;"crude";"crude/co";"Dirty";"2016-06-11";"2016-07-04";"Saudi Arabia";"Egypt"
"Xuan Wu Hu";499983;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-08-03";"2018-08-14";"Greece";"Lebanon"
"Dan Sabia";109637;"crude";"crude/co";"Dirty";"2017-06-27";"2017-09-11";"Singapore Republic";"China"
"Advantage Virtue";376904;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2014-11-07";"2014-11-10";"Russian Federation";"Russian Federation"
"Vento";742103;NA;"Fuel Oils";"DPP";"2014-09-19";"2014-10-03";"Russian Federation";"China"
"Intrepid Seahawk";712472;"crude";"crude/co";"Dirty";"2018-12-01";"2018-12-17";"Singapore Republic";"Indonesia"
"Saranga";799057;"crude";"crude/co";"Dirty";"2019-05-04";"2019-05-07";"United Kingdom";"Ireland"
"Seadance";285815;"crude";"crude/co";"Dirty";"2019-04-02";"2019-04-04";"Saudi Arabia";"United Kingdom"
"Celestial";391943;"crude";"crude/co";"Dirty";"2018-08-17";"2018-10-10";"Venezuela";"United States"
"Fuji Galaxy";49626;"VGO";"Fuel Oils";"DPP";"2016-04-10";"2016-04-12";"Russian Federation";"China"
"Hafnia Beijing";127582;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-12-09";"2017-12-30";"Algeria";"United States"
"Sabiti";108228;"condensate";"crude/co";"Dirty";"2019-08-19";NA;"Turkey";NA
"Prima Tangguh Lvi";74314;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-12-07";"2018-12-08";"Russian Federation";"Israel"
"Clarity";124110;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-05-15";"2018-05-19";"Russian Federation";"Russian Federation"
"Landbridge Fortune";988336;"crude";"crude/co";"Dirty";"2016-04-02";"2016-04-07";"Italy";"Italy"
"Dynasty";272619;"crude";"crude/co";"Dirty";"2014-05-04";"2014-06-04";"United Kingdom";"South Africa"
"Ncc Haiel";14774;"FO";"Fuel Oils";"DPP";"2018-11-05";"2018-11-13";"Saudi–Kuwaiti Neutral Zone";"United States"
"Heung-A Pioneer";88510;"crude";"crude/co";"Dirty";"2013-02-22";"2013-03-02";"Singapore Republic";"Singapore Republic"
"Dht Europe";14661;"crude";"crude/co";"Dirty";"2018-04-15";"2018-05-29";"Malaysia";"Thailand"
"Ns Laguna";996129;NA;"crude/co";"Dirty";"2016-11-02";"2016-11-20";"Norway";"Denmark"
"Silver Heba";271795;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-05-29";"2019-06-10";"Saudi Arabia";"Egypt"
"Carolus Magnus";315000;"crude";"crude/co";"Dirty";"2016-02-23";"2016-02-29";"United Arab Emirates";"China"
"Sti Rose";700961;"Jet";"Kero/Jet";"Middle Distillates";"2018-03-17";"2018-03-19";"Algeria";"United States"
"Bunga Kelana 8";538105;"crude";"crude/co";"Dirty";"2018-02-12";"2018-04-09";"Papua New Guinea";"Singapore Republic"
"Scf Yenisei";74049;"Blending Comps";"Blendings";"Light Ends";"2019-06-08";"2019-06-12";"Iran";"Singapore Republic"
"Jag Pushpa";47594;"crude";"crude/co";"Dirty";"2019-01-10";"2019-01-11";"Bahrain";"Kenya"
"Carmel";101599;"crude";"crude/co";"Dirty";"2020-02-03";"2020-03-11";"Saudi Arabia";"Japan"
"Zantoro";23674;"crude";"crude/co";"Dirty";"2020-04-06";"2020-04-28";"Netherlands";"Ghana"
"Australis";168881;NA;"crude/co";"Dirty";"2016-11-30";"2016-12-10";"Russian Federation";"United States"
"Nounou";765306;"crude";"crude/co";"Dirty";"2020-01-29";"2020-02-01";"Indonesia";"Indonesia"
"World Harmony";117984;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-11-09";NA;"Algeria";NA
"Seamaster Iv";2000002;NA;"crude/co";"Dirty";"2018-06-06";"2018-06-29";"Indonesia";"Indonesia"
"Orwell";157169;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-04-13";"2020-05-12";"Romania";"Bulgaria"
"Po Yang Hu";757022;"crude";"crude/co";"Dirty";"2019-05-19";"2019-05-23";"Indonesia";"Indonesia"
"Morning Ibis";180611;"FO";"Fuel Oils";"DPP";"2016-06-11";"2016-06-15";"Brazil";"Brazil"
"Front Force";1044272;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2015-03-30";"2015-05-09";"Spain";"Spain"
"Balos";32436;NA;"crude/co";"Dirty";"2016-08-02";"2016-08-22";"Saudi Arabia";"France"
"Sti Seneca";247246;"crude";"crude/co";"Dirty";"2019-07-09";"2019-07-18";"United Arab Emirates";"United Arab Emirates"
"Elka Astir";129117;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-01-03";NA;"Nigeria";NA
"Great Eastern";295979;"crude";"crude/co";"Dirty";"2016-09-03";"2016-09-16";"Saudi Arabia";"United States"
"Ataulfo Alves";730007;"VGO";"Fuel Oils";"DPP";"2017-04-29";"2017-07-14";"Canada";"United States"
"Kinaros";891983;NA;"crude/co";"Dirty";"2020-05-01";"2020-05-18";"Malaysia";"Malaysia"
"Olmeca";111367;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-05-10";"2017-05-30";"Russian Federation";"Netherlands"
"Pusaka Java";1012464;"crude";"crude/co";"Dirty";"2014-12-05";"2015-02-02";"Saudi Arabia";"United States"
"Maria Laura";729259;"FO";"Fuel Oils";"DPP";"2018-11-30";"2018-12-06";"Argentina";"Argentina"
"Pacific Diamond";744751;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2013-11-10";NA;"Angola";NA
"New Dragon";316666;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-09-06";"2013-09-11";"South Korea";"South Korea"
"Torm Vita";194675;NA;"crude/co";"Dirty";"2016-11-02";"2016-12-07";"United Arab Emirates";"Singapore Republic"
"Harrison Bay";92856;"crude";"crude/co";"Dirty";"2020-01-04";"2020-01-09";"Angola";"United States"
"Ottoman Nobility";192027;"crude";"crude/co";"Dirty";"2018-05-26";"2018-06-15";"Belgium";"China"
"Alpine Mystery";216583;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-06-13";"2017-06-16";"United Arab Emirates";"Vietnam"
"Nord Pearl";506493;"crude";"crude/co";"Dirty";"2017-05-05";"2017-05-31";"Libya";"Malta"
"Canneto M";534854;"crude";"crude/co";"Dirty";"2014-03-03";NA;"Russian Federation";NA
"Astute";208161;"crude";"crude/co";"Dirty";"2019-07-15";"2019-07-18";"Greece";"Libya"
"Malbec";579071;NA;"crude/co";"Dirty";"2016-01-21";"2016-02-28";"United Kingdom";"United Kingdom"
"Bw Jaguar";115153;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-04-02";"2018-04-11";"Brazil";"Brazil"
"Yang Li Hu";55457;"Jet";"Kero/Jet";"Middle Distillates";"2018-12-18";"2018-12-21";"Brazil";"Brazil"
"Celsius Richmond";537847;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-07-06";"2020-07-08";"United States";"United States"
"Rn Privodino";31776;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-06-22";"2017-07-09";"Brazil";"Netherlands"
"Seychelles Prelude";347618;"crude";"crude/co";"Dirty";"2019-04-05";"2019-04-16";"Algeria";"Netherlands"
"Bodil Knutsen";67565;"FO";"Fuel Oils";"DPP";"2019-09-04";"2019-09-14";"South Korea";"United States"
"Sea Falcon";442356;"FO";"Fuel Oils";"DPP";"2018-03-23";"2018-05-04";"Russian Federation";"Poland"
"Zaliv Aniva";1025515;"crude";"crude/co";"Dirty";"2019-09-12";"2019-09-18";"Algeria";"Belgium"
"Csc Friendship";330749;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2015-03-16";NA;"Saudi Arabia";NA
"Starlight Venture";130670;"crude";"crude/co";"Dirty";"2018-06-03";"2018-06-08";"Russian Federation";"Germany"
"Aquanus";524997;"FO";"Fuel Oils";"DPP";"2018-02-23";"2018-03-25";"Colombia";"United States"
"Torm Carina";149433;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-08";"2019-03-13";"Norway";"Sweden"
"Chemical Hunter";46576;"crude";"crude/co";"Dirty";"2016-10-03";"2016-10-24";"Canada";"United States"
"Yamilah-Iii";55180;"crude";"crude/co";"Dirty";"2015-04-13";"2015-05-13";"Belgium";"United States"
"Histria Coral";191549;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-12-21";"2020-01-01";"Belgium";"Italy"
"Seaways Jademar";74175;"RFO";"Fuel Oils";"DPP";"2018-10-29";"2018-11-02";"Russian Federation";"Netherlands"
"Nautilus";510065;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-03-06";"2020-03-09";"Saudi Arabia";"Thailand"
"Salina";525997;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-10-23";"2019-10-29";"Russian Federation";"United Arab Emirates"
"Maran Cassiopeia";2010305;"crude";"crude/co";"Dirty";"2016-11-27";"2016-12-03";"Oman";"Thailand"
"Minerva Zenia";442796;"crude";"crude/co";"Dirty";"2019-09-12";"2019-09-28";"Singapore Republic";"Malaysia"
"Apolytares";124852;"crude";"crude/co";"Dirty";"2013-08-17";"2013-08-21";"China";"China"
"Two Million Ways";952900;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-02-24";"2018-03-23";"Colombia";"United States"
"New Activity";521613;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2015-07-23";"2015-08-16";"United Kingdom";"China"
"C. Galaxy";131205;"crude";"crude/co";"Dirty";"2015-09-25";"2015-10-04";"Iran";"Turkey"
"Vendome Street";272877;"crude";"crude/co";"Dirty";"2020-03-09";"2020-04-20";"Turkey";"China"
"Bernora";292098;"crude";"crude/co";"Dirty";"2017-04-15";"2017-04-20";"Netherlands";"Nigeria"
"Marlin Azurite";103788;"crude";"crude/co";"Dirty";"2016-05-29";NA;"Russian Federation";NA
"Siri Knutsen";165676;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2014-08-24";"2014-09-17";"Italy";"Italy"
"Chembulk Columbus";104542;"crude";"crude/co";"Dirty";"2020-05-24";NA;"Nigeria";NA
"Ns Captain";69;"crude";"crude/co";"Dirty";"2018-07-06";"2018-07-13";"Ecuador";"Nicaragua"
"Norstar Invictus";1027509;"crude";"crude/co";"Dirty";"2016-03-07";"2016-03-25";"Canada";"United States"
"Nave Velocity";776313;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-11-08";"2017-11-12";"Saudi Arabia";"India"
"Neverland Dream";308282;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-03-01";"2018-03-26";"Venezuela";"United States"
"Rio 2016";770828;NA;"crude/co";"Dirty";"2018-08-06";NA;"Saudi Arabia";NA
"Rich Breeze";1008973;"crude";"crude/co";"Dirty";"2016-11-28";"2016-12-27";"Russian Federation";"Netherlands"
"Great Diamond";180460;"crude";"crude/co";"Dirty";"2014-07-28";"2014-09-11";"Singapore Republic";"Indonesia"
"Fortaleza Knutsen";373702;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-11-21";"2018-11-23";"Singapore Republic";"South Korea"
"Saracena";69389;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2019-08-08";"2019-08-20";"South Korea";"Singapore Republic"
"Kriti Verano";1975;"crude";"crude/co";"Dirty";"2020-04-01";"2020-04-07";"United States";"United States"
"Chafa";52016;NA;"crude/co";"Dirty";"2019-02-17";"2019-03-07";"United Arab Emirates";"Singapore Republic"
"Leo";1001778;"VGO";"Fuel Oils";"DPP";"2020-01-23";"2020-02-19";"Nigeria";"United States"
"Stolt Norland";1195183;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-09-14";"2016-10-01";"United Arab Emirates";"China"
"Oriental Rose";35914;NA;"Fuel Oils";"DPP";"2020-05-22";"2020-08-05";"Oman";"China"
"Khurais";441041;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-07-13";"2017-08-09";"United States";"France"
"Pvt Neptune";132406;"crude";"crude/co";"Dirty";"2016-04-27";"2016-04-29";"Kuwait";"Egypt"
"Baltic";480786;"crude";"crude/co";"Dirty";"2018-04-13";"2018-04-21";"India";"Japan"
"Shafira 4";484434;"VGO";"Fuel Oils";"DPP";"2020-01-28";"2020-02-13";"Kuwait";"Singapore Republic"
"Silver Gwen";522136;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-04-02";"2017-04-09";"Canada";"United States"
"Mastera";1010281;NA;"Gasoline/Naphtha";"Light Ends";"2014-02-04";"2014-02-11";"Canada";"United States"
"St Walga";46865;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2015-10-18";"2015-11-10";"Angola";"Brazil"
"Saint Nicholas";347317;"crude";"crude/co";"Dirty";"2016-06-25";"2016-06-27";"Saudi Arabia";"United States"
"Team Calypso";162843;"crude";"crude/co";"Dirty";"2018-10-31";"2018-12-01";"China";"Hong Kong"
"Dubai Brilliance";36877;"crude";"crude/co";"Dirty";"2017-05-10";"2017-05-19";"Turkey";"United Kingdom"
"Alfa Italia";290853;"crude";"crude/co";"Dirty";"2020-06-21";"2020-07-08";"United States";"Colombia"
"Ns Corona";556880;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2018-06-13";"2018-06-16";"United Kingdom";"Netherlands"
"Omega Trader";265562;"Jet";"Kero/Jet";"Middle Distillates";"2013-06-06";"2013-06-22";"Saudi Arabia";"Egypt"
"Boraq";250001;NA;"crude/co";"Dirty";"2017-12-29";"2018-01-15";"Republic of the Congo";"Netherlands"
"Sti Le Rocher";1022855;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2017-02-22";"2017-04-25";"Norway";"Norway"
"Tsurusaki";1052775;"FO";"Fuel Oils";"DPP";"2016-06-09";"2016-06-26";"Norway";"Portugal"
"High Freedom";81949;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-07-15";"2016-08-14";"United States";"Brazil"
